"名前","なまえ","出身地","血液型","身長","期生"
"秋元真夏","あきもとまなつ","埼玉県","B","154","1"
"生田絵梨花","いくたえりか","東京都","A","160","1"
"井上小百合","いのうえさゆり","埼玉県","B","156","1"
"衛藤美彩","えとうみさ","大分県","AB","163","1"
"川後陽菜","かわごひな","長崎県","O","161","1"
"齋藤飛鳥","さいとうあすか","東京都","O","158","1"
"斉藤優里","さいとうゆうり","東京都","O","157","1"
"桜井玲香","さくらいれいか","神奈川県","A","155","1"
"白石麻衣","しらいしまい","群馬県","A","162","1"
"高山一実","たかやまかずみ","千葉県","A","162","1"
"中田花奈","なかだかな","埼玉県","A","158","1"
"西野七瀬","にしのななせ","大阪府","O","159","1"
"能條愛未","のうじょうあみ","神奈川県","A","162","1"
"樋口日奈","ひぐちひな","東京都","A","159","1"
"星野みなみ","ほしのみなみ","千葉県","B","155","1"
"松村沙友理","まつむらさゆり","大阪府","B","164","1"
"若月佑美","わかつきゆみ","静岡県","O","157","1"
"和田まあや","わだまあや","広島県","O","160","1"
"伊藤かりん","いとうかりん","神奈川県","O","153","2"
"伊藤純奈","いとうじゅんな","神奈川県","A","166","2"
"北野日奈子","きたのひなこ","北海道","O","158","2"
"佐々木琴子","ささきことこ","埼玉県","A","163","2"
"新内眞衣","しんうちまい","埼玉県","B","165","2"
"鈴木絢音","すずきあやね","秋田県","O","160","2"
"寺田蘭世","てらだらんぜ","東京都","不明","155","2"
"堀未央奈","ほりみおな","岐阜県","O","160","2"
"山崎怜奈","やまざきれな","東京都","B","164","2"
"渡辺みり愛","わたなべみりあ","東京都","O","153","2"
"伊藤理々杏","いとうりりあ","沖縄県","B","154","3"
"岩本蓮加","いわもとれんか","東京都","B","157","3"
"梅澤美波","うめざわみなみ","神奈川県","A","170","3"
"大園桃子","おおぞのももこ","鹿児島県","O","156","3"
"久保史緒里","くぼしおり","宮城県","O","159","3"
"阪口珠美","さかぐちたまみ","東京都","A","161","3"
"佐藤楓","さとうかえで","愛知県","A","161","3"
"中村麗乃","なかむられの","東京都","不明","167","3"
"向井葉月","むかいはづき","東京都","A","152","3"
"山下美月","やましたみづき","東京都","O","159","3"
"吉田綾乃クリスティー","よしだあやのクリスティー","大分県","A","161","3"
"与田祐希","よだゆうき","福岡県","O","152","3"
"山本穂乃香","やまもとほのか","愛知県","O","162","1"
"吉本彩華","よしもとあやか","熊本県","A","147","1"
"岩瀬佑美子","いわせゆみこ","埼玉県","A","153","1"
"安藤美雲","あんどうみくも","神奈川県","O","156","1"
"柏幸奈","かしわゆきな","神奈川県","B","158","1"
"宮澤成良","みやざわせいら","千葉県","O","166","1"
"市來玲奈","いちきれな","千葉県","A","153","1"
"伊藤寧々","いとうねね","岐阜県","B","148","1"
"大和里菜","やまとりな","宮城県","O","162","1"
"畠中清羅","はたなかせいら","大分県","B","150","1"
"松井玲奈","まついれな","愛知県","O","162","交換留学生"
"永島聖羅","ながしませいら","愛知県","O","158","1"
"深川麻衣","ふかがわまい","静岡県","O","162","1"
"橋本奈々未","はしもとななみ","北海道","B","163","1"
"中元日芽香","なかもとひめか","広島県","O","161","1"
"伊藤万理華","いとうまりか","神奈川県","O","156","1"
"川村真洋","かわむらまひろ","大阪府","A","157","1"
"生駒里奈","いこまりな","秋田県","AB","154","1"
"斎藤ちはる","さいとうちはる","埼玉県","A","166","1"
"相楽伊織","さがらいおり","埼玉県","O","164","2"
"西川七海","にしかわななみ","東京都","A","165","2"
"矢田里沙子","やだりさこ","埼玉県","A","158","2"
"米徳京花","よねとくきょうか","神奈川県","AB","163","2"